yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_39;lazio_388;toscana_25;trentino_6511;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;trentino_6509;trentino_6564;trentino_6640;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6856;aeronautica_6869;aeronautica_6893;lazio_289;marche_25;sicilia_11812;sicilia_11882;aeronautica_6691;aeronautica_6692;aeronautica_6919
1988;NA;NA;NA;NA;37;73;14;3;16;140;NA;NA;NA;148;58;153;80;53;NA;NA;45;9;64;19;48;NA;23;NA;25;87;101;147;NA;NA;NA;NA;NA;NA;NA;NA;8;3;33;0;1;NA;191;NA
1989;64;28;0;23;46;83;28;15;8;132;92;76;86;113;45;105;82;67;54;70;54;31;67;35;71;23;14;12;20;67;83;132;0;37;28;11;0;12;0;0;10;5;40;1;0;164;181;0
1990;47;22;0;21;43;56;26;NA;7;140;87;81;95;127;58;115;83;65;NA;64;43;27;60;24;56;33;19;20;27;79;88;131;0;31;17;16;1;12;0;0;2;5;32;0;NA;160;173;1
1991;70;35;4;22;58;NA;41;NA;23;159;108;85;113;NA;72;125;87;71;61;71;56;53;69;21;69;46;29;39;41;86;NA;NA;2;43;36;33;7;19;2;1;13;18;32;0;0;207;NA;7
1992;50;11;0;16;40;NA;44;5;6;152;108;85;95;142;44;NA;66;40;48;48;38;40;53;13;51;19;20;24;26;NA;NA;141;0;15;15;11;3;20;0;0;14;5;20;3;NA;177;194;4
1993;68;31;4;32;58;87;57;5;17;139;119;89;99;130;63;NA;93;65;66;70;57;29;71;NA;87;38;33;43;28;86;NA;NA;1;37;34;18;5;21;3;0;12;14;35;2;0;164;191;3
1994;35;6;0;18;20;47;19;0;8;133;72;76;73;144;48;86;62;28;25;31;20;8;36;NA;56;22;13;18;12;NA;61;110;0;14;11;3;0;10;1;0;5;1;NA;0;0;159;181;0
1995;64;24;0;15;40;55;34;0;8;161;113;88;109;146;71;NA;74;42;40;42;34;23;61;12;51;44;NA;36;21;NA;94;143;0;26;19;16;4;12;0;0;7;NA;38;0;NA;180;198;11
1996;54;28;6;26;41;58;38;9;NA;134;108;83;109;125;65;NA;84;41;37;51;42;33;NA;24;54;61;30;43;26;89;88;122;1;23;21;12;2;18;2;0;4;NA;32;0;0;NA;215;3
1997;10;2;0;21;33;75;15;1;NA;154;117;89;82;128;35;115;79;30;24;36;23;10;44;15;49;18;NA;20;2;59;67;144;1;6;0;2;0;16;0;0;3;NA;12;1;0;NA;196;NA
