nomi.zyp zyp.out
lbound -0.3811070487650333
trend -0.2900242864956396
trendp -17.401457189738377
ubound -0.15767163284666869
tau -0.39567506313323975
sig 9.83846894087037e-6
nruns 4
autocor 0.024096066118062375
valid_frac 1
linear -0.26027952208946914
intercept 5.046698182769983
