yy;anomAnnualePesata;anomAnnuale
1961;0.9644677291890537;0.9823949534690386
1962;-0.01565421565182151;-0.018854866442888196
1963;-0.38105909657924253;-0.39097524252383387
1964;0.07067570597945187;0.07760039451163951
1965;-0.4065920018166345;-0.4239515067977829
1966;-0.013848596119754614;0.00869255270006309
1967;0.30769941386602606;0.29984076221153705
1968;-0.13248552077454942;-0.12441587201345293
1969;-0.3699636382967437;-0.37707542661698734
1970;0.026565010332842576;0.032417553877126776
1971;-0.017575914735419904;-0.020015207427424908
1972;-0.4953697820658775;-0.4910375737134336
1973;0.02345528163736152;0.020714288778948667
1974;-0.10439559621908708;-0.10029841434047647
1975;0.07133464696506796;0.07031112622904773
1976;-0.4744787134282642;-0.47020124100004246
1977;0.031057351132975912;0.0384531035634338
1978;-0.6011864590165722;-0.6029536993545088
1979;-0.23770435335714643;-0.23810798545219247
1980;-0.8251750252855186;-0.8152682240819386
1981;-0.12534338576865017;-0.12905741639563717
1982;0.4558235980187239;0.4508405385616025
1983;0.3896537871003444;0.37017892555380494
1984;-0.6067023667890269;-0.6107484437809684
1985;0.2657859687631541;0.2633506625068996
1986;0.1349671786473417;0.1117355012784964
1987;0.19017295190094197;0.19353653261742984
1988;0.5704032337531417;0.5613925739838965
1989;0.5644618006242043;0.566556509534177
1990;0.8587427410545992;0.8725183057893033
1991;-0.11709860908376915;-0.125476363484047
1992;0.5979983976741959;0.5972039185290764
1993;0.5163093569045768;0.5092519879210478
1994;1.2683694805093588;1.2481854727171344
1995;0.16132721494013202;0.16818952934911408
1996;-0.18009006686590143;-0.18339871681215814
1997;0.984962376225411;0.9883765203360076
1998;0.8016953702716804;0.8146366558737855
1999;0.8559004598526578;0.8440996345263964
2000;1.3253755039891622;1.3268661789379657
2001;1.1988913987424845;1.1895767410036886
2002;1.0182477746661442;1.0283105326027078
2003;1.603714919038604;1.575705782635977
2004;0.6571258778617574;0.6571240750575709
2005;0.26320994177356044;0.24578776783296055
2006;1.1584383422905347;1.1528050666898733
2007;1.53628089952056;1.5412456932661411
2008;1.184027387979796;1.1805599267702176
2009;1.2566543323184614;1.2432432656286634
2010;0.2825285421544794;0.2826287221008068
2011;1.6067986893036454;1.6099247403083399
2012;1.58271489715869;1.5631569583002167
2013;0.9206766000013883;0.9038840705331586
2014;1.4599061623649816;1.469208748733814
2015;1.8018294596804931;1.7849593453236736
2016;1.4301437407669806;1.4377096247143106
2017;1.7510884201895838;1.74864070199824
2018;1.5858313044739512;1.563861649989004
2019;1.6761048624660813;1.6831214250389843
2020;1.6898048037155349;1.7003490086492972
