yy;anomAnnualePesata;anomAnnuale
1961;0.9974338921555029;1.0177786019724773
1962;-0.10262899044088858;-0.10587423417933192
1963;-0.46359944584713136;-0.47191680961781846
1964;0.05778584796710367;0.06599780236047945
1965;-0.4344626416829865;-0.45341088024169185
1966;-0.038033320780235066;-0.013626745323540536
1967;0.3504206359891492;0.34065536931552864
1968;-0.14935590206929514;-0.14121998038752315
1969;-0.4285480512281999;-0.436360508590314
1970;-0.002682287611455723;0.003734833725127879
1971;0.038336240695364655;0.0350721789769247
1972;-0.4726185286079931;-0.468069457283155
1973;0.051251339150163146;0.04875037714834266
1974;-0.11823824928171084;-0.11466879215459351
1975;0.08707006048229582;0.08572336236954614
1976;-0.5074041738595888;-0.5031015858347704
1977;0.08628323065207026;0.09526313857092435
1978;-0.6246049198890601;-0.627493103794538
1979;-0.2033577116816245;-0.2043184839567072
1980;-0.8579777046693676;-0.8465885118237636
1981;-0.09499093656112598;-0.09913081251761577
1982;0.4949914007485154;0.49017364338194885
1983;0.40343858102937835;0.3822966158931568
1984;-0.6910780183773383;-0.6952168896224094
1985;0.21409029915001315;0.211077024957716
1986;0.10967037052168847;0.08475317065167609
1987;0.19374381700549553;0.19669462294437737
1988;0.6272884745610756;0.6180051208148656
1989;0.587850403145291;0.5916884057274637
1990;0.920133997747478;0.9353118422819894
1991;-0.048841618896588314;-0.057677041964737025
1992;0.6611770611946658;0.660966786140515
1993;0.6110695528055605;0.6041217301973659
1994;1.424144009490446;1.4028995251245049
1995;0.24971159426788997;0.25904488464165976
1996;-0.20879896610162352;-0.21241279378554462
1997;1.0631494429725508;1.0684171490744319
1998;0.8989034510085863;0.9142388632592898
1999;0.9087605207862897;0.8974096232887049
2000;1.3951606949773379;1.3982132036256905
2001;1.2286422088129982;1.2194806523439627
2002;1.0265483081686135;1.0389982898378645
2003;1.6549752515634328;1.6278136688553249
2004;0.6416450218671002;0.6430678248376787
2005;0.19467774397838053;0.1791727326758375
2006;1.1458492520234766;1.143068758894013
2007;1.5231905394666576;1.530893129321894
2008;1.1483406816695476;1.1461449370400278
2009;1.1796864798867726;1.1684874435117045
2010;0.2172665655878664;0.21924812038336225
2011;1.6048139897005786;1.6108702133090294
2012;1.608306119752871;1.5897989109625048
2013;0.9710157951906998;0.957164736209686
2014;1.4969828127203444;1.5090997280126437
2015;1.8218019384709558;1.8074874035091089
2016;1.4551064967165346;1.4639501562391817
2017;1.7494125974108896;1.7502248579602147
2018;1.6820603422069724;1.663997078926187
2019;1.7485240066958394;1.7586564941525973
2020;1.8213105990317884;1.8325234591170037
