nomi.zyp zyp.out
lbound 0.2753473590705905
trend 0.37623849900614914
trendp 22.57430994036895
ubound 0.4807233442357874
tau 0.5195792317390442
sig 0
nruns 4
autocor 0.06904119633445124
valid_frac 1
linear 0.379703528757988
intercept -4.400675469764698
