yy;anom.originale;anom
1961;3.95;3.95
1962;1.79;1.79
1963;0.71;0.71
1964;-1.09;-1.09
1965;-2.23;-2.23
1966;2.03;2.03
1967;1.63;1.63
1968;0.55;0.55
1969;-0.65;-0.65
1970;-0.33;-0.33
1971;-1.65;-1.65
1972;-1.42;-1.42
1973;-0.16;-0.16
1974;-1.95;-1.95
1975;-2.61;-2.61
1976;-3.64;-3.64
1977;1.49;1.49
1978;-3.27;-3.27
1979;0.44;0.44
1980;-5.32;-5.32
1981;0.41;0.41
1982;2.55;2.55
1983;0.38;0.38
1984;-4.18;-4.18
1985;0.92;0.92
1986;0.48;0.48
1987;5.36;5.36
1988;3.6;3.6
1989;0.92;0.92
1990;4.76;4.76
1991;1.27;1.27
1992;3.45;3.45
1993;3.32;3.32
1994;9.74;9.74
1995;0.11;0.11
1996;1.17;1.17
1997;3.84;3.84
1998;4.64;4.64
1999;5.84;5.84
2000;7.6;7.6
2001;8.15;8.15
2002;7.66;7.66
2003;14.72;14.72
2004;5.3;5.3
2005;3.54;3.54
2006;7.76;7.76
2007;8.91;8.91
2008;7.39;7.39
2009;8.77;8.77
2010;5.7;5.7
2011;7.75;7.75
2012;10.2;10.2
2013;7.68;7.68
2014;10.99;10.99
2015;12.27;12.27
2016;9.78;9.52
2017;8.67;8.24
2018;14.42;13.98
2019;12.63;12.19
2020;9.32;9.32
