yy;anom
1961;3.93
1962;1.15
1963;0.09
1964;-1.31
1965;-3.05
1966;1.5
1967;1.16
1968;0.08
1969;-0.8
1970;-0.45
1971;-2.01
1972;-1.3
1973;-0.74
1974;-1.84
1975;-2.86
1976;-3.71
1977;1.48
1978;-3.74
1979;-0.15
1980;-5.32
1981;0.02
1982;2.48
1983;0.42
1984;-3.84
1985;2.35
1986;1.22
1987;5.43
1988;4.97
1989;2.56
1990;5.08
1991;1.26
1992;4.19
1993;3.6
1994;11.34
1995;0.63
1996;1.78
1997;4.26
1998;4.89
1999;6.53
2000;10.53
2001;9.58
2002;8.71
2003;16.22
2004;6.54
2005;5.14
2006;8.33
2007;9.52
2008;9.19
2009;11.06
2010;7.27
2011;9.27
2012;11.82
2013;8.23
2014;12.95
2015;13.84
2016;10.08
2017;10
2018;15.84
2019;14.04
2020;10.35
