yy;id;regione;SiteId;cluster;SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation
2013;puglia_128;puglia;128;4;128;SAN_SEVERO;448;41.68389;15.38333;99
2013;puglia_130;puglia;130;4;130;SANTA_MARIA_DI_LEUCA;450;39.78417;18.35;26
2013;puglia_133;puglia;133;4;133;SAN_VITO_DEI_NORMANNI;449;40.65028;17.70028;121
2013;puglia_138;puglia;138;4;138;TARANTO;57;40.46417;17.25028;27
2013;puglia_139;puglia;139;4;139;TAVIANO;14;39.9675;18.08361;65
2013;puglia_14;puglia;14;4;14;BARLETTA;29;41.30056;16.20028;30
2013;puglia_144;puglia;144;4;144;TURI;39;40.90083;17.01667;268
2013;puglia_27;puglia;27;4;27;CANOSA_DI_PUGLIA;409;41.21694;16.10056;116
2013;puglia_31;puglia;31;4;31;CASSANO_MURGE;53;40.88361;16.76667;380
2013;puglia_34;puglia;34;4;34;CASTELLANETA;51;40.61722;16.9175;236
2013;puglia_38;puglia;38;4;38;CERIGNOLA;21;41.25056;15.90028;134
2013;puglia_51;puglia;51;4;51;FOGGIA_(IST._SPER.LE_COLTURE_FORAGG.);418;41.46667;15.46806;85
2013;puglia_52;puglia;52;4;52;FOGGIA_(OSSERVATORIO);26;41.46167;15.54306;94
2013;puglia_56;puglia;56;4;56;GALLIPOLI;420;40.05444;17.99444;31
2013;puglia_58;puglia;58;4;58;GINOSA_MARINA;54;40.43361;16.88472;15
2013;puglia_61;puglia;61;4;61;GROTTAGLIE;37;40.53361;17.43361;165
2013;puglia_62;puglia;62;4;62;GRUMO_APPULA;12;40.98472;16.71806;202
2013;puglia_65;puglia;65;4;65;LATIANO;35;40.55;17.70056;114
2013;puglia_66;puglia;66;4;66;LAVELLO;50;41.05056;15.795;328
2013;puglia_67;puglia;67;4;67;LECCE;423;40.35028;18.16667;51
2013;puglia_68;puglia;68;4;68;LESINA;424;41.85056;15.35;17
2013;puglia_69;puglia;69;4;69;LIZZANO;52;40.38389;17.43417;71
2013;puglia_72;puglia;72;4;72;LUCERA;49;41.50056;15.33333;224
2013;puglia_73;puglia;73;4;73;MAGLIE;8;40.10083;18.28389;102
2013;puglia_74;puglia;74;4;74;MANDURIA;499;40.36806;17.63444;81
2013;puglia_75;puglia;75;4;75;MANFREDONIA-BONIFICA_SIPONTINA;425;41.58306;15.88;2
2013;puglia_77;puglia;77;4;77;MASSAFRA;41;40.58361;17.10056;113
2013;puglia_82;puglia;82;4;82;MASSERIA_MONTERUGA;427;40.33389;17.81722;92
2013;puglia_84;puglia;84;4;84;MASSERIA_S._CHIARA;428;41.33361;16.13333;10
2013;puglia_87;puglia;87;4;87;MERCADANTE;430;40.88389;16.7;395
2013;puglia_88;puglia;88;4;88;MINERVINO_DI_LECCE;492;40.08361;18.41667;104
2013;puglia_97;puglia;97;4;97;"NARDO";19;40.16694;18.03333;54
2013;sicilia_11812;sicilia;11812;4;11812;Marsala;191120;37.810158;12.456187;5
2013;sicilia_11825;sicilia;11825;4;11825;Sciacca;191400;37.511873;13.126871;110
2013;sicilia_11832;sicilia;11832;4;11832;Bivona;191480;37.61914;13.438949;554
2013;sicilia_11858;sicilia;11858;4;11858;Licata;192200;37.098433;13.932402;48
2013;sicilia_11883;sicilia;11883;4;11883;Mineo;193060;37.264436;14.690246;459
2013;sicilia_11888;sicilia;11888;4;11888;Acireale;193150;37.620461;15.165228;184
2013;sicilia_11898;sicilia;11898;4;11898;Messina Istituto Geofisico;193380;38.200472;15.554106;31
2013;sicilia_11933;sicilia;11933;4;11933;Ciminna;19660;37.891796;13.559357;467
2013;sicilia_11942;sicilia;11942;4;11942;Palermo Osservatorio Astronomico;19880;38.109161;13.350685;27
2013;sicilia_6097;sicilia;6097;4;6097;Bivona;00204;37.593803;13.414643;337
2013;sicilia_6162;sicilia;6162;4;6162;Palermo;00276;38.129171;13.327125;44
