yy;id;regione;SiteId;cluster;SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation
2013;abruzzo_2159;abruzzo;2159;5;2159;L'AQUILA;550;42.33416667;13.42861111;618
2013;abruzzo_2168;abruzzo;2168;5;2168;ATERNO A FAGNANO;5750;42.24805556;13.56722222;620
2013;aeronautica_6690;aeronautica;6690;5;6690;BOLZANO;160200;46.467;11.333;241
2013;aeronautica_6694;aeronautica;6694;5;6694;AVIANO;160360;46.033;12.6;128
2013;aeronautica_6700;aeronautica;6700;5;6700;UDINE/RIVOLTO;160450;45.983;13.033;53
2013;aeronautica_6707;aeronautica;6707;5;6707;TORINO/CASELLE;160590;45.217;7.65;287
2013;aeronautica_6710;aeronautica;6710;5;6710;NOVARA/CAMERI;160640;45.517;8.667;169
2013;aeronautica_6711;aeronautica;6711;5;6711;MILANO/MALPENSA;160660;45.617;8.733;211
2013;aeronautica_6717;aeronautica;6717;5;6717;BERGAMO/ORIO AL SER;160760;45.667;9.7;237
2013;aeronautica_6718;aeronautica;6718;5;6718;MILANO/LINATE;160800;45.433;9.283;103
2013;aeronautica_6720;aeronautica;6720;5;6720;PIACENZA;160840;44.917;9.733;138
2013;aeronautica_6721;aeronautica;6721;5;6721;BRESCIA/GHEDI;160880;45.417;10.283;97
2013;aeronautica_6723;aeronautica;6723;5;6723;VERONA/VILLAFRANCA;160900;45.383;10.867;68
2013;aeronautica_6729;aeronautica;6729;5;6729;TREVISO/ISTRANA;160980;45.683;12.1;46
2013;aeronautica_6730;aeronautica;6730;5;6730;TREVISO/S. ANGELO;160990;45.65;12.183;23
2013;aeronautica_6733;aeronautica;6733;5;6733;VENEZIA/TESSERA;161050;45.5;12.333;6
2013;aeronautica_6735;aeronautica;6735;5;6735;RONCHI DEI LEGIONAR;161080;45.817;13.483;12
2013;aeronautica_6736;aeronautica;6736;5;6736;TRIESTE;161100;45.65;13.75;20
2013;aeronautica_6762;aeronautica;6762;5;6762;FERRARA;161380;44.833;11.617;10
2013;aeronautica_6763;aeronautica;6763;5;6763;BOLOGNA/BORGO PANIG;161400;44.533;11.3;49
2013;aeronautica_6766;aeronautica;6766;5;6766;PUNTA MARINA;161460;44.45;12.3;6
2013;aeronautica_6768;aeronautica;6768;5;6768;CERVIA;161480;44.217;12.3;10
2013;aeronautica_6769;aeronautica;6769;5;6769;RIMINI;161490;44.033;12.617;13
2013;aeronautica_6776;aeronautica;6776;5;6776;MONTE ARGENTARIO;161680;42.383;11.167;631
2013;aeronautica_6787;aeronautica;6787;5;6787;FALCONARA;161910;43.617;13.367;10
2013;basilicata_39;basilicata;39;5;39;Tramutola;54700;40.2986;15.7867;875
2013;basilicata_44;basilicata;44;5;44;Irsina;55200;40.7417;16.2461;453
2013;bolzano_203;bolzano;203;5;203;Bolzano;83200MS;46.49768516;11.31283145;246
2013;bolzano_49;bolzano;49;5;49;Merano - Quarazze;23200MS;46.68805798;11.13656021;369
2013;calabria_7;calabria;7;5;7;San Pietro in Guarano;1030;39.34555556;16.31361111;766
2013;campania_43;campania;43;5;43;Montella;NA;40.84777778;15.05027778;499.6351928710938
2013;emiliaromagna_12702;emiliaromagna;12702;5;12702;Bologna Urbana;0811842;44.500754;11.328789;44
2013;emiliaromagna_14246;emiliaromagna;14246;5;14246;Ferrara urbana;OPENDATA114;44.8325;11.62114;9
2013;emiliaromagna_14354;emiliaromagna;14354;5;14354;Parma urbana;OPENDATA222;44.808;10.33049;49
2013;emiliaromagna_9163;emiliaromagna;9163;5;9163;FORLIURB;08FORLIURB;44.21942;12.04086;32
2013;emiliaromagna_9224;emiliaromagna;9224;5;9224;MODENAURB;08MODENAURB;44.65191;10.91571;35
2013;emiliaromagna_9320;emiliaromagna;9320;5;9320;REGGIOEMILIAURB;08REGGIOEMILIAURB;44.69007;10.63239;59
2013;friuliveneziagiulia_14;friuliveneziagiulia;14;5;14;Cividale del friuli;CIV;46.080442;13.420014;127
2013;friuliveneziagiulia_20;friuliveneziagiulia;20;5;20;Fossalon;FOS;45.714768;13.458865;0
2013;friuliveneziagiulia_21;friuliveneziagiulia;21;5;21;Gemona del friuli;GEM;46.261297;13.122088;184
2013;friuliveneziagiulia_27;friuliveneziagiulia;27;5;27;Lignano sabbiadoro;LIG;45.701909;13.147078;7
2013;friuliveneziagiulia_39;friuliveneziagiulia;39;5;39;Pordenone;POR;45.953618;12.681257;23
2013;friuliveneziagiulia_5;friuliveneziagiulia;5;5;5;Bordano;BOR;46.332764;13.081196;230
2013;friuliveneziagiulia_52;friuliveneziagiulia;52;5;52;Udine s.o.;UDI;46.035212;13.226672;91
2013;lombardia_5963;lombardia;5963;5;5963;Sondrio;00107;46.165556;9.848611;301
2013;lombardia_5981;lombardia;5981;5;5981;Milano - Parco Nord;00147;45.543333;9.207222;150
2013;lombardia_5999;lombardia;5999;5;5999;Sermide;00816;45.00722;11.290278;12
2013;lombardia_6013;lombardia;6013;5;6013;Monzambano;00873;45.390278;10.711111;93
2013;lombardia_6032;lombardia;6032;5;6032;Voghera;00908;44.990278000000004;9.0175;99
2013;marche_101;marche;101;5;101;Sant'Angelo in Vado;101;43.666889;12.410222;352
2013;marche_108;marche;108;5;108;Pergola;108;43.568672;12.844062;242
2013;marche_110;marche;110;5;110;Jesi;110;43.531944;13.229972;100
2013;marche_112;marche;112;5;112;Villa Fastiggi;112;43.89061;12.86939;22
2013;marche_605;marche;605;5;605;Fabriano;605;43.330273;12.904034;354
2013;piemonte_5598;piemonte;5598;5;5598;ISOLA S. ANTONIO;00220;45.022;8.855;76
2013;piemonte_5600;piemonte;5600;5;5600;ALESSANDRIA LOBBI;00115;44.938;8.705;88
2013;piemonte_5602;piemonte;5602;5;5602;CASALE MONFERRATO;00119;45.133;8.505;105
2013;piemonte_5603;piemonte;5603;5;5603;ASTI TANARO;00138;44.886;8.213;116
2013;piemonte_5609;piemonte;5609;5;5609;MONDOVI';00315;44.397;7.812;414
2013;piemonte_5612;piemonte;5612;5;5612;BRA;00317;44.702;7.853;327
2013;piemonte_5616;piemonte;5616;5;5616;BORGOMANERO;00130;45.689;8.461;299
2013;piemonte_5628;piemonte;5628;5;5628;CUMIANA;00109;44.965;7.392;305
2013;piemonte_5634;piemonte;5634;5;5634;VERCELLI;00198;45.326;8.391;132
2013;piemonte_5647;piemonte;5647;5;5647;PALLANZA;00641;45.925;8.55;214
2013;piemonte_5649;piemonte;5649;5;5649;DOMODOSSOLA;00117;46.104;8.303;255
2013;puglia_109;puglia;109;5;109;PIETRAMONTECORVINO;22;41.53389;15.11722;464
2013;puglia_15;puglia;15;5;15;BICCARI;403;41.40056;15.18389;590
2013;puglia_86;puglia;86;5;86;MELFI;429;40.98389;15.61694;569
2013;puglia_89;puglia;89;5;89;MINERVINO_MURGE;32;41.06694;16.08333;502
2013;puglia_94;puglia;94;5;94;MONTICCHIO_BAGNI;13;40.93333;15.6;713
2013;sicilia_11827;sicilia;11827;5;11827;Piano del Leone;191420;37.670792;13.465549;876
2013;toscana_23;toscana;23;5;23;Pian di Sco';TOS01000881;43.649965;11.55515;470
2013;toscana_30;toscana;30;5;30;Le Croci (Barberino);TOS01000926;44.009686;11.271917;387
2013;toscana_349;toscana;349;5;349;Pontremoli depuratore;TOS09001080;44.369246;9.883168;290
2013;toscana_37;toscana;37;5;37;Villore;TOS01001011;43.966733;11.546251;513
2013;trentino_6561;trentino;6561;5;6561;Trento (Roncafort);135;46.095667;11.101279;194
2013;trentino_6569;trentino;6569;5;6569;Aldeno;146;45.967849;11.091715;182
2013;trentino_6570;trentino;6570;5;6570;Rovereto;147;45.896097;11.043954;203
2013;trentino_6574;trentino;6574;5;6574;Loppio;151;45.855358;10.931337;230
2013;trentino_6598;trentino;6598;5;6598;Santa Massenza (Centrale);189;46.065821;10.980894;245
2013;trentino_6601;trentino;6601;5;6601;Torbole;193;45.881852;10.882485;70
2013;umbria_2011;umbria;2011;5;2011;Norcia;2011;42.799;13.105;678
2013;umbria_264;umbria;264;5;264;Montelovesco;264;43.308;12.418;590
2013;umbria_267;umbria;267;5;267;Nocera_umbra;267;43.119;12.791;517
2013;umbria_301;umbria;301;5;301;Gubbio;301;43.341;12.563;449
2013;umbria_804;umbria;804;5;804;Ponte_buggianino;804;42.843;12.926;535
2013;valledaosta_109;valledaosta;109;5;109;Aosta - Piazza Plouves;4000;45.7369;7.32372;580
2013;veneto_5717;veneto;5717;5;5717;Montagnana;00106;45.24286;11.46828;15
2013;veneto_5718;veneto;5718;5;5718;Salizzole;00108;45.23885;11.08626;22
2013;veneto_5719;veneto;5719;5;5719;Cittadella;00110;45.66574;11.79122;57
2013;veneto_5731;veneto;5731;5;5731;Trebaseleghe;00122;45.6068;12.02654;23
