yy;id;regione;SiteId;cluster;SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation
2013;trentino_6640;trentino;6640;2;6640;Cavalese (meteotrentino);367;46.284762;11.451794;958
2013;trentino_6954;trentino;6954;2;6954;San Lorenzo In Banale (Pergole;414;46.066522;10.911055;690
2013;umbria_1683;umbria;1683;2;1683;Monte_cucco;1683;43.375;12.729;1155
2013;umbria_2011;umbria;2011;2;2011;Norcia;2011;42.799;13.105;678
2013;umbria_804;umbria;804;2;804;Ponte_buggianino;804;42.843;12.926;535
2013;valledaosta_110;valledaosta;110;2;110;Aosta - Mont-Fleury;4020;45.7305;7.29903;577
2013;valledaosta_111;valledaosta;111;2;111;La Thuile - Les Granges;4050;45.7297;6.96684;1637
2013;valledaosta_113;valledaosta;113;2;113;Etroubles - Chevrière;4080;45.8167;7.23278;1339
2013;valledaosta_31;valledaosta;31;2;31;Issime - Capoluogo;1320;45.6873;7.85621;960
2013;veneto_5680;veneto;5680;2;5680;Agordo;00019;46.27609;12.03251;588
2013;veneto_5683;veneto;5683;2;5683;Sospirolo;00025;46.14025;12.07977;363
2013;veneto_5699;veneto;5699;2;5699;Recoaro 1000;00077;45.67982;11.22594;913
