yy;anom
1961;-0.09
1962;0.8
1963;-0.45
1964;-0.85
1965;0.54
1966;-0.51
1967;0.35
1968;0.57
1969;-0.77
1970;0.1
1971;0.99
1972;-0.57
1973;0.04
1974;0.85
1975;-0.07
1976;-2.07
1977;-2.15
1978;-1.43
1979;-0.93
1980;-0.37
1981;0.1
1982;1.52
1983;2.94
1984;0.23
1985;0.29
1986;-0.47
1987;1.26
1988;1.51
1989;-0.89
1990;-0.03
1991;0.33
1992;0.68
1993;1.4
1994;2.18
1995;0.54
1996;0.27
1997;-0.41
1998;3.11
1999;1.58
2000;2.41
2001;1.22
2002;1.35
2003;3.53
2004;0.82
2005;1.86
2006;2.22
2007;3.14
2008;0.58
2009;1.82
2010;1.13
2011;1.73
2012;2.67
2013;1.92
2014;-0.27
2015;2.23
2016;-0.1
2017;3.16
2018;0.82
2019;2.62
2020;1.38
