nomi.zyp zyp.out
lbound 0.045409502510412016
trend 0.06653350741021254
trendp 3.992010444612752
ubound 0.09004309132835807
tau 0.46580949425697327
sig 2.384185791015625e-7
nruns 4
autocor 0.16639207793832198
valid_frac 1
linear 0.06650347318699634
intercept -0.9122273489127769
