yy;anomAnnualePesata;anomAnnuale
1961;0.5535025119545536;0.5617825796898946
1962;-0.21465330860377238;-0.22031624894347962
1963;-0.09927386360865405;-0.10542386271920946
1964;0.2333670824183878;0.23697362646289344
1965;-0.46166772667354533;-0.48132346875244364
1966;0.20372000806301602;0.22727218319006584
1967;0.16251504798085367;0.15824356676966064
1968;-0.014688948849837093;-0.002071173428994343
1969;-0.09922314548759514;-0.10318396219287573
1970;-0.09280124117058894;-0.08878062837121493
1971;-0.1502991971747932;-0.15376034086806684
1972;0.0710562073294166;0.07767013130335162
1973;-0.10748152478046313;-0.11399465134841488
1974;-0.1358952498897902;-0.12365570626616833
1975;0.02056636918510569;0.016160056538463835
1976;-0.36910774581509515;-0.365306187513745
1977;0.1784610613492891;0.1857094722264224
1978;-0.4396418819686074;-0.44105111426346777
1979;-0.011961097065360967;-0.005719647914018393
1980;-0.5235928456947868;-0.5193584724783699
1981;-0.3117545488121649;-0.3187629747035134
1982;0.5314229582960159;0.5239297200673385
1983;0.11897122808031033;0.09996554521402674
1984;-0.3880049330918848;-0.3913389008590986
1985;0.09895555101481504;0.09483997797549601
1986;0.15596186491706504;0.1451843956842973
1987;0.2017398365667061;0.20809682513088348
1988;0.47093137093338056;0.45880284555910456
1989;0.11398605626348464;0.11620583074851845
1990;0.47893734117930936;0.48707460299561434
1991;-0.3286211340555543;-0.3400995984272819
1992;0.5598125698697408;0.5542022137369654
1993;0.2547930994180559;0.2391377848820464
1994;1.0849858429017873;1.0720888588570534
1995;0.018638388940587038;0.021978038094597186
1996;0.06617241534568609;0.05892420615752936
1997;0.6201900973545791;0.619734908065892
1998;0.44246338023092696;0.44683910388038517
1999;0.6500085916879282;0.6286815867285501
2000;0.9499582070025053;0.9489893594046869
2001;0.766064253928043;0.7510368646999196
2002;0.9357314551131852;0.9450065479312643
2003;0.9197548507779196;0.8910339950161671
2004;0.5427522283839131;0.5401062073085738
2005;0.07283245426545312;0.05696208377401132
2006;0.6090803389772182;0.6019267661002226
2007;0.8035334221010821;0.8094492296645123
2008;0.838395597128932;0.8328076652235963
2009;0.9503354090336199;0.9391965057587094
2010;0.4274750778959922;0.42770012646276545
2011;0.9495355165216648;0.9513194165124932
2012;0.8972744263428818;0.8848387963198829
2013;0.8465211944492224;0.8292690027188558
2014;1.4997064754704352;1.5119841838820738
2015;1.3538816693456264;1.3402231714674868
2016;1.1825938978184192;1.1937671819834887
2017;0.7755138988570166;0.7844217478852893
2018;1.4839888196851916;1.4677433585417656
2019;1.299308365380282;1.2980258675862324
2020;1.198502779697956;1.2010756689427784
