yy;anom
1961;-3.09
1962;4.43
1963;2.48
1964;-1.22
1965;3.84
1966;-1.21
1967;-0.03
1968;-0.07
1969;-0.13
1970;1.43
1971;1.82
1972;0.54
1973;0.55
1974;1.02
1975;-3.08
1976;2.4
1977;-1.2
1978;2.66
1979;-0.57
1980;3.84
1981;3.01
1982;-4.13
1983;-1.66
1984;-0.36
1985;-0.54
1986;-2.28
1987;1.11
1988;-2.95
1989;-2.2
1990;-4.26
1991;3.27
1992;-4.76
1993;-1.31
1994;-5.51
1995;-0.41
1996;-0.69
1997;-3.91
1998;-1.69
1999;-3.95
2000;-5.17
2001;-2.96
2002;-4.6
2003;-2.47
2004;-3.35
2005;-0.23
2006;-2.58
2007;-2.96
2008;-4.54
2009;-3.78
2010;-2.97
2011;-5.24
2012;-3.39
2013;-4.98
2014;-7.54
2015;-7.06
2016;-5.42
2017;-4.22
2018;-6.56
2019;-6.57
2020;-6.2
