yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
1961,NA,-5.476230514879544,-5.779097779877184,-2.2024799244213504,-2.9948134152102046,-6.866093528578177,-3.829078885214928,-5.141308455361359,-4.49320736891828,NA,0.6045866792631127,NA,-1.847713745866792,-3.82521020311762,-3.9519461502125672,NA,NA,NA,-4.274761454888993,-3.757869626830421,NA,-4.24531412376004,-7.437510628247521,-1.4517713745866843,-2.3591639111950844,-4.238077468115256,-1.8702172886159616,-1.2388521492678315,-6.895540859707133,NA,-7.4507746811525735,-4.3076287198866305,NA,-6.807751535191309,-4.48315540859707,-1.3893528578176646,NA,1.6203731695795902,-3.074950401511572,2.2461596598960814,2.320581010864432,0.7567453944260762,1.369059990552671,-3.721341521020312,NA,NA,-4.952810581010865,-4.8293906471421835,-4.801048653755315,-3.446764289088331,12.386410014170995,NA,-5.091204534718942,-5.408389230042513,-4.196419461502127,NA,-5.919806329711855
1962,NA,NA,3.8382853094000957,-0.05793575814831975,4.100132262635803,-1.8023240434577232,2.3022390174775627,3.049527633443553,2.082135096835147,NA,8.38918752952291,NA,NA,2.4100283419933852,2.5950543221539935,4.3099433160132286,NA,NA,6.2495654227680735,6.4074586679263135,NA,6.061724137931032,1.9342418516769015,4.556731223429384,1.3725318847425605,5.464331601322625,NA,6.13951346244686,-0.1123571091166724,5.164019839395374,5.407042985356638,3.2407888521492723,NA,5.6438308927727885,5.474331601322625,4.194019839395375,NA,4.964728389230041,9.168790741615494,6.932035899858288,2.6323429381199848,4.752966461974491,7.387009919697684,3.817628719886633,9.708393953708077,NA,NA,4.079442607463394,2.426159659896081,3.1852621634388285,0.07653755314124311,13.720590458195558,NA,7.439981105337747,8.604714218233347,-1.6079026924893718,4.906835144071799
1963,NA,1.9871610769957488,0.09714218233348859,1.2363486065186589,2.98534718941899,-1.8684553613604162,0.5922720831365123,3.4935521965044902,2.7056589513462495,NA,4.959806329711855,NA,NA,-3.872446858762399,3.464208786017947,4.886230514879548,NA,NA,5.512673594709488,4.319598488427019,NA,3.151946150212561,5.051861124232399,6.313934813415212,1.7315304676428909,5.5493575814832266,3.439182805857346,-0.7098016060462928,2.5140009447331124,3.2651062824752035,2.591738308927731,8.654109589041088,NA,0.06990552668871253,-0.7798016060462931,0.33950873878129784,NA,2.725710911667454,1.9321350968351467,3.549891355692015,0.846797354747288,1.304690599905527,4.231601322626359,1.6730845536136059,5.863330184222958,NA,1.7264525271610758,2.8135002361832804,0.06432687765706113,0.20935285781766844,7.0392205951818525,5.010151157298061,-0.02743504959848586,2.1211336797354736,3.7109966934341028,-0.21914501653282947,0.3910108644307986
1964,-0.34856227623892977,NA,-3.455596382136801,3.7388072357264015,2.6226832485396656,-1.1573242886753334,0.7033427548520823,-1.574269832296963,-5.507917844356511,NA,1.3554946297343164,-0.4445129074806804,-1.4441888072357267,-5.407173544375352,-3.422869794610893,-3.794111550781987,NA,NA,-2.266171094780482,-1.204844544940645,NA,-0.6162483512342174,3.568888260787638,2.311776898436028,0.17168833615978762,-5.508330506877707,-3.6078292820802718,NA,-2.373857169775766,-5.57031656302996,-6.931145656679856,-1.5256736385905416,-6.414365931788206,-3.27543056340682,-2.6812964009798366,2.579713585830037,2.229462973431316,3.2077312982852835,-3.604026757113246,-2.4527002072734128,1.9840908234407397,2.1206199359336733,-4.173864706990767,0.8397060486150387,1.4659072922555136,NA,-3.3846052383644256,-3.2054305634068214,-3.431547013378559,-0.6487280949689112,7.29303372903712,7.983943847748252,-3.1361748633879785,-3.3312153759185987,-3.4786546071226674,-1.2264989636329329,-4.5465102694554345
1965,NA,NA,NA,12.780987246102978,2.6924799244213524,5.651620217288615,3.889390647142184,-1.7969532357109088,-0.5536702881436,1.5141898913556933,NA,5.874383561643832,3.480581010864432,-0.8965375531412381,-2.8560557392536614,-0.16809163911195135,5.295729806329712,3.126764289088335,1.998266414737838,3.2237080774681175,3.6953141237600367,-1.430009447331127,7.753797827113834,2.0342938119981095,3.006920170051961,NA,-2.4748464808691546,NA,9.117685403873407,NA,0.39995748700992095,2.626712328767125,3.1014454416627295,5.086438356164386,3.736022673594709,3.9861785545583377,6.8646953235710875,6.627458667926314,4.001100614076524,-1.9673500236183266,6.647458667926314,7.728875767595664,5.4408597071327325,NA,6.902536608408122,-0.7706140765233815,1.2162966461974491,1.7931884742560218,0.8862446858762407,4.007179971658006,38.13038734057629,8.855214926783182,-2.417609825224374,4.123967879074163,NA,0.4988521492678313,1.836452527161077
1966,-2.2675578649031634,-0.48803967879073973,0.1632735002361798,4.231152574397733,-3.8545205479452047,-2.756504487482288,2.850184222957015,-4.309943316013227,-3.3311856400566837,-3.4267642890883314,-3.590028341993386,-0.5025649504015117,1.8556400566839901,3.5342607463391573,1.092928672649979,-2.7755550307038286,0.13748700991970075,-1.8330845536136042,-2.527005196032121,-0.17733112895606773,-0.80161549362305,-2.261374586679265,-0.5315115729806337,-2.443741143127067,-4.258077468115258,-2.5942418516769,-2.4370571563533305,-2.627609825224373,-6.357042985356637,NA,-4.493760037789322,-2.814950401511572,3.1864714218233345,-2.622583845063769,-1.9890599905526667,0.40564005668399084,-1.7796126594237123,-3.5851062824752002,0.05211620217288626,-4.404761454888994,-0.22075106282475154,2.693448275862071,-2.57992442135097,-1.2272461029759079,2.8023948984411913,-1.6492158715162955,NA,0.5744827586206913,-0.8520642418516786,-2.3036372224846478,-2.956055739253661,1.070614076523384,-2.2570051960321216,-0.4296457250826613,3.862153991497401,-0.8521162021728852,-1.8007699574870077
1967,-3.3917902692489363,0.9385073216816249,1.2213745866792625,6.507959376476144,-0.09448275862068733,1.0224279641001441,4.286178554558337,-0.6349315068493144,-1.8385073216816252,-1.6506660368445942,-4.185210203117619,1.660873878129431,NA,4.375073216816251,-1.977453944260743,-2.104794520547946,3.8786301369863025,0.5098535663675019,-3.263897024090693,-3.5122390174775617,0.9272461029759107,-2.1196646197449223,0.5360368445914041,3.526972130373167,0.739560699102503,-3.5011856400566836,-1.3506140765233816,-0.9743268776570595,-1.8506660368445935,-0.901166745394427,-2.783793103448274,-5.3468351440718,-1.46161549362305,-2.962687765706188,-2.3858478979688265,-1.285432215399151,-0.6742749173358558,4.095573925366084,-3.10329239489844,2.1233443552196505,5.183122342938118,3.0713415210203117,-0.20864430798299693,2.088767123287669,0.5728247520075591,4.793863958431746,4.881861124232399,1.4625318847425604,-0.40803967879074143,1.9382144544166273,-4.5054180444024565,-0.7054841757203558,-2.493188474256023,-0.10843646669815676,2.2655550307038244,-0.540354274917334,-2.235347189418989
1968,-0.7254230261918231,-0.5626116449971725,-0.12037874505369928,1.6943376672319577,1.3319351799510066,1.2545845110231806,1.457064254757869,-0.6321179574147315,7.145181835311849,0.4170604861503655,-2.1681533823252295,1.72243640474845,-1.4630318447333694,6.511047672884867,-1.774104013566987,-3.6810533257961193,-1.1804673073299412,0.40598454870925593,0.4001187111362352,-0.44170152628604065,2.0466515922366693,1.4847503297531564,4.774842660636892,3.9511211607311054,-1.6937723761070291,-1.5607141511211573,-1.6952609760693402,-1.8575749010740488,1.9600414546824965,7.657495760316566,-0.04401545129074336,-3.334605238364425,0.8402035048049736,1.793346523459583,1.4076427360090467,-1.0193065762200852,1.447476917279067,1.1821047672884877,-3.4627039758809124,-3.272372338420955,-1.6903014885999603,-0.9696382136800494,-6.331392500471075,0.8773921236103224,-3.2825381571509338,-1.5769153947616346,0.6006971923874129,-2.762619182212174,0.02615036743923227,1.6218579234972665,-5.181057094403618,-0.24104201997362118,-1.9961710947804825,-0.26922178255134455,2.0517768984360263,-2.5831976634633493,-2.5585698134539276
1969,-1.5873500236183258,0.05990552668871274,2.5723429381199843,-1.0782475200755766,-1.190373169579595,1.466452527161076,2.368370335380252,-0.12477562588568603,NA,2.024345772319318,-0.8219603212092572,-2.4676098252243728,1.0148275862068967,2.1360557392536617,NA,-2.010321209258386,4.908389230042513,1.6624279641001447,0.7701133679735452,-1.6605621162021702,-2.5021350968351452,-1.5622720831365147,-1.19282475200756,4.056022673594709,-2.189111950873876,3.045814832309876,0.4538261691072272,1.1135333018422315,1.1252432687765683,1.460666036844593,-1.4517194142654706,1.464690599905527,3.8288899385923454,-1.2338261691072283,-0.9781955597543686,-1.6727727916863504,1.4986112423240439,3.018578176665093,2.886315540859707,-0.6163816721776119,-2.903793103448275,-1.520061407652335,-2.891686348606518,0.3599055266887117,-5.218389230042513,-2.1310297590930585,0.7344827586206915,-1.4566934341048654,-0.07738308927727822,-0.6786962683042077,-4.1936561171469044,-0.16698630136986203,-3.0978176665092123,1.5165044874822886,1.7365044874822875,-2.637661785545583,-2.9344496929617376
1970,0.4627208313651412,2.478422295701465,0.560061407652336,-4.857179971658008,2.229560699102503,4.61241379310345,7.942295701464332,6.28996221067549,4.103863958431747,0.5505621162021725,0.1794567784600858,4.221100614076525,3.584501653282949,-0.11240906943788431,1.3385592820028318,-2.2842938119981113,3.274000944733112,1.3317713745866797,1.053533301842231,0.5501133679735446,5.556438356164385,-2.7337411431270677,0.5549315068493161,3.3380255077940486,3.025814832309875,3.8771799716580073,-1.3789560699102488,NA,9.278290033065657,3.5485262163438858,NA,4.100495984884272,-0.9609069437883804,1.3641898913556947,1.799319792158716,0.14111478507321884,6.411223429381199,5.238700991969768,1.5825838450637715,0.555087387812943,1.6781624940954174,-0.8965375531412381,-0.8038261691072286,0.6905621162021731,-3.1116343882853084,0.1268823807274444,2.9640529050543183,-0.5875389702409066,1.0090599905526698,4.81020311761927,-5.091152574397732,-3.067316957959374,-4.713311289560699,5.644988190836095,3.522050070854986,-2.949423712801133,-3.293448275862069
