nomi.zyp zyp.out
lbound -0.15588813542339164
trend -0.13336055747716613
trendp -8.001633448629967
ubound -0.11089182513091296
tau -0.6411455869674683
sig 7.650362006221545e-13
nruns 4
autocor -0.26277998753087223
valid_frac 1
linear -0.1270891914420672
intercept 2.239605209726955
