yy;anom
1961;7.33
1962;2.78
1963;-1.43
1964;-2.51
1965;-2.75
1966;-0.69
1967;2.26
1968;-0.57
1969;-2.42
1970;-0.37
1971;-0.85
1972;-3.32
1973;-0.9
1974;-1.84
1975;-1.89
1976;-2.18
1977;-0.18
1978;-4.22
1979;-1.73
1980;-5.36
1981;0.99
1982;1.77
1983;2.33
1984;-3.9
1985;3.42
1986;0.46
1987;3.37
1988;3.66
1989;3.87
1990;8.3
1991;2.58
1992;5.98
1993;6.98
1994;13.81
1995;3.79
1996;1.01
1997;9.37
1998;10.55
1999;9.8
2000;13.89
2001;13.54
2002;9.2
2003;19.49
2004;7
2005;5.31
2006;11.77
2007;15.08
2008;9.9
2009;12.07
2010;4.81
2011;14.31
2012;16.32
2013;8.28
2014;10.64
2015;15.29
2016;9.42
2017;13.89
2018;12.91
2019;15.74
2020;12.78
