yy;anom.originale;anom
1961;7.54;7.54
1962;3.09;3.09
1963;-1.48;-1.48
1964;-2.44;-2.44
1965;-2.46;-2.46
1966;-0.93;-0.93
1967;2.45;2.45
1968;-0.56;-0.56
1969;-2.16;-2.16
1970;0.01;0.01
1971;-0.44;-0.44
1972;-3.29;-3.29
1973;-0.4;-0.4
1974;-1.74;-1.74
1975;-1.82;-1.82
1976;-2.34;-2.34
1977;0.52;0.52
1978;-3.88;-3.88
1979;-1.31;-1.31
1980;-5.31;-5.31
1981;1.04;1.04
1982;1.23;1.23
1983;2.36;2.36
1984;-4.05;-4.05
1985;3.26;3.26
1986;-0.14;-0.14
1987;3.9;3.9
1988;2.69;2.69
1989;3.61;3.61
1990;6.41;6.41
1991;0.35;0.35
1992;3.93;3.93
1993;5.18;5.18
1994;10.48;10.48
1995;0.88;0.88
1996;-1.04;-1.04
1997;5.54;5.54
1998;7.52;7.52
1999;5.94;5.94
2000;8.91;8.91
2001;9.66;9.66
2002;6.29;6.29
2003;15.95;15.95
2004;4.15;4.15
2005;2.83;2.83
2006;9.23;9.23
2007;13.19;13.19
2008;7.59;7.59
2009;8.73;8.73
2010;3.09;3.09
2011;12.21;12.21
2012;14.81;14.81
2013;7.03;7.03
2014;9.21;9.21
2015;15.24;15.24
2016;9.7;9.73
2017;12.9;12.89
2018;12.16;12.32
2019;14.11;14.39
2020;12.67;12.67
