yy;anom
1961;0.42
1962;0.28
1963;0.07
1964;-0.38
1965;0.51
1966;-0.68
1967;0.47
1968;0.45
1969;0.29
1970;0.21
1971;0.65
1972;-0.39
1973;-0.06
1974;-0.18
1975;-0.54
1976;-1.47
1977;-1.02
1978;-0.93
1979;-0.57
1980;-0.21
1981;-0.14
1982;0.79
1983;1.78
1984;-0.53
1985;0.2
1986;0.21
1987;0.86
1988;1.13
1989;-0.5
1990;-0.22
1991;0.19
1992;0.68
1993;0.89
1994;1.99
1995;0.69
1996;-0.49
1997;-0.43
1998;1.55
1999;1.78
2000;1.38
2001;0.85
2002;1.15
2003;2.75
2004;0.81
2005;1.21
2006;1.46
2007;1.78
2008;1.07
2009;1.47
2010;1.35
2011;1.29
2012;2.02
2013;1.67
2014;0.37
2015;2.3
2016;0.57
2017;2.74
2018;1.23
2019;2.43
2020;1.5
