yy;aeronautica_6771;aeronautica_6773;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6822;aeronautica_6841;aeronautica_6850;aeronautica_6851;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6897;friuliveneziagiulia_51;lazio_276;marche_701;sicilia_6120;toscana_464;toscana_55;toscana_72;toscana_78;trentino_6509;trentino_6511;trentino_6564;aeronautica_6782;marche_104;marche_123;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6859;aeronautica_6876;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6901;lazio_240;lazio_278;lazio_289;marche_25;sicilia_11825;sicilia_11832;sicilia_11883;sicilia_11898;sicilia_11933;sicilia_11942;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6769;bolzano_203;emiliaromagna_12702;emiliaromagna_14246;emiliaromagna_9224;friuliveneziagiulia_14;friuliveneziagiulia_20;friuliveneziagiulia_39;marche_108;marche_110;marche_605;trentino_6570;aeronautica_6919;aeronautica_6922;aeronautica_6923
2006;5.7;5;2.5;1.7;3.6;7.4;8.2;7;2.2;6.7;5.5;9.7;9;0.7;5.4;4;3.4;3.8;3.1;2.8;0.2;-1.7;-0.1;NA;-2.5;-3.8;-2.2;5.2;7.5;7;4.2;5.6;7.7;6.9;9.7;9.5;9;8.3;4.9;7.5;0.6;6.3;3.2;NA;NA;2.5;4.9;-1.5;-1;-2.5;0.4;-0.4;0.3;-0.4;1.7;1.4;-0.3;0;NA;-1.3;-1.1;2.1;0.8;0.3;2.3;-1.4;NA;9.8;6.4;9.6
2007;8;6;3.8;2.1;3.2;6;6.4;7;0;3.8;4.9;10.7;9.1;4.8;5.2;6.4;3.4;1.6;4.4;4.6;2.5;NA;NA;-0.3;-2;0.7;NA;5.4;5.4;6;0;NA;9.8;6.6;11.2;10.4;11.1;5.6;4.4;NA;1.7;9.1;7.1;NA;10.4;6.8;9.7;2;2.9;NA;1.6;1.9;4.6;4;4.1;3.3;2.5;2.8;-0.2;1.4;3.3;4.3;3.9;2;2.4;-0.4;NA;7.8;8;7.7
2008;5;5.4;4.6;1.5;5.4;6.4;8.6;6.2;1.4;4.8;4.5;10.1;10.1;3.3;7.4;5.1;3;5.2;3.1;4.5;1.4;NA;NA;-1.6;0;-0.4;-0.5;6.2;7.9;6.2;4;3.9;8.3;4.5;8.6;9.2;9.8;6.1;6.9;9.6;4;9;4.2;4.8;8.4;4.4;7.3;1;1.3;-0.3;2.6;2.4;2.4;2;2.4;3;-0.4;1.1;1.1;1.2;2.6;4;2.7;NA;NA;0.3;NA;10;9;11.2
2009;6;1;0.1;2;3.6;6.2;7.8;7.4;-0.8;7.7;6.4;7.8;9.3;0.1;5.6;0.3;5.5;1;1.1;0.5;1.1;NA;NA;-3.1;-1;-2.4;-1.9;5.4;5.3;7.4;NA;6.4;6.7;8.3;7.5;11.4;10.3;6.8;4.2;8;3.6;6.4;6.2;7.3;9.4;3.2;7.6;-6.9;-3.5;-5.7;-1.5;-3.3;-1.1;-2;-1.5;-4;-2.6;-5;-4.7;-5.1;-1.7;-0.7;-0.1;NA;NA;NA;-3;8.8;9.5;9.4
2010;4;1;0.9;1.3;3;6.2;5.2;3.2;2.2;5.9;5.5;9.6;9.1;2.3;4.7;1.9;2.5;-0.5;0;0;-0.7;NA;NA;NA;-3.7;NA;-2.2;4.2;6.1;5.2;NA;5.2;10;8.8;8.8;8.5;12;5.5;3.2;6.9;2.1;8.1;7.3;5.4;10.4;6.4;8.4;-3;-1.9;-2.7;-0.5;-1.2;-1.5;-1.2;-0.8;-1.7;-3;-0.6;NA;-2;0;1.9;-0.4;-0.3;0.2;-1.4;-4.6;6.2;6.8;7
2011;5.7;3.6;4.2;3.5;5;7.4;8.6;8;3;7.7;7;10.9;9;3.4;7.8;4.6;4.6;3;3.8;3.2;0.6;NA;NA;NA;-1;-0.3;-1.3;6.4;5.7;6.8;NA;NA;10;8.8;10.4;10.6;10.3;6.7;4.5;7.2;3.5;9.2;6.4;6;10.6;6.2;8.8;1.5;2;0.2;2.3;1.3;0.9;NA;1.2;2.5;-1.2;1.5;NA;1.5;1.7;2.4;1.6;0.6;1.8;-0.1;-0.9;9.4;9.2;7
2012;1.6;2;-0.1;0;0;3.4;6.6;5;0.2;6.9;6.6;9.2;9;-2.9;1.6;0.4;NA;2.8;-1.6;-0.6;-4;NA;-5.8;NA;-6.4;-4.9;-5.1;2.6;2.6;5.8;NA;7.5;10;9;9;7.7;10.3;1.8;1.3;6.6;0;8.2;4.3;5.1;NA;3.5;8.5;-3;-2.2;-3;-1.3;-0.4;-1.1;-0.8;-2;-2;-0.7;-2.7;-2.4;-3.2;-1.7;-1.5;-0.4;-3.1;-3.3;-4.2;-0.4;7;6.2;7
2013;3.8;5.4;4.6;3.2;4.6;7.2;8.5;5.2;2.2;8.1;7.3;10.4;9;3.4;8.1;4.8;7;2.6;3.7;2.6;2.6;NA;NA;-5.2;-0.9;NA;-0.1;6.6;6.2;7;NA;7;10.3;9;11;10.6;12.4;7.2;4.7;8;4.3;8;6.3;7.2;NA;5.5;9.5;0;1;0.2;NA;1.7;2;1;1;2.2;-0.2;0.7;1.7;0.9;1.7;3.2;3.1;1.4;3.1;0.6;-0.8;9;9;9.2
2014;7.8;5.4;1.8;0.7;1.4;3.6;6.4;6.6;1;6.8;5.4;7.2;4.2;2.2;3.7;4.1;NA;4.2;3.1;3.1;0.5;NA;-2.4;-1.9;-2.4;-0.8;-2.1;4;2.4;5;NA;5.4;7;4.6;5.4;6;7.2;3.2;1.1;NA;NA;5.4;0.7;1.9;NA;-2;6.2;2;1;0;NA;0;0.6;0.6;1.6;5;1.1;1.7;NA;0.4;0.2;2.3;NA;0.8;1.6;-1;0.6;8.6;5.4;9
2015;7;7;4;5.1;6;8.6;7;6.4;3.2;8;6;10.1;9;5.2;8;5.3;NA;5.6;5.4;5.5;2.4;0.2;-0.8;-0.5;0.2;1.5;1.3;6;8.4;6.2;NA;6.6;11;8.2;11;8.4;9.4;8.5;6;9.5;6.2;NA;NA;NA;NA;NA;NA;3;3;2;NA;2;1;1.2;1.4;4.4;2.6;2.6;2.9;3.4;2.5;4.4;NA;3.3;4.3;2.5;3.6;10.4;9.2;10
2016;6;5;3;4.3;5.3;9;7;6;2.6;7.4;5.4;NA;9.2;4.7;7.3;NA;NA;4.4;5.7;4.2;4.1;-0.8;-3.2;0.7;1;2.3;0.6;5;7;8.2;NA;6.6;11;9.6;11.4;8;11;8;6.3;9.9;NA;10.7;7;5.5;NA;5.9;9.8;2.2;0.1;NA;NA;0;4.2;4;1.5;3;1;1.9;-0.4;0.7;1.4;4.4;4;3.8;4.2;2.1;1.9;9.2;8.8;9
2017;6;4.2;1.6;NA;1.2;3;3.2;2;-3;3;-1;8.6;7.2;2.4;3.2;2.4;-0.6;3.7;3.8;3.7;1.3;-2;-5.4;-2.8;-3.8;NA;-3.5;3;3;3.4;NA;0.4;8.1;4.8;8.4;7;NA;2.7;1;4.2;2.1;6;NA;1.9;5;0;6.5;-0.9;1;NA;0.3;2;0.6;1.1;1;3;0.4;1.2;0.8;0.5;1.1;2.2;0.4;0.4;0.9;-1.5;-0.4;8;6;8.5
2018;3;2.6;-0.2;NA;1.5;5.2;5;6.2;0.4;6;4.8;8.4;10.4;-1.4;2.4;NA;4.2;1.8;-0.1;-0.1;-2.3;-4.3;-5.1;-3.4;-6;-5.7;-4.7;3;2;5;NA;NA;12;11;10.6;12.1;NA;2.6;1.7;5.6;1;9.7;7.1;8.3;11.6;7.4;9.4;0;0.1;-3;-0.9;-1;-1;-1;-0.6;0;0.1;-1.7;-1.7;-1.8;-0.7;-2.6;NA;-2.2;-0.3;-3.6;-0.9;10.2;5;10.2
2019;6;5;2.4;3.3;5.2;7.2;7;5;-1.2;5;4;7.4;8.6;NA;6.8;3.8;2.2;3.8;3.9;3.9;1.1;-1.3;-2.1;-1.7;0.6;-0.4;-0.1;5;6;5.2;NA;1;8.3;8;10.2;9.1;11;6.5;4.8;7.9;3.2;10.1;NA;NA;8.3;4.5;6.8;0.4;NA;1;1.8;3;3.8;1.9;0.6;3;2.3;3;NA;NA;2.2;2.3;2.5;1.1;1.3;0.4;1.6;8;7.5;9
2020;8;7;4.2;5;7.5;8.8;9;9;6.6;8;7;NA;10;NA;9.8;7.3;4.3;5.7;6.2;5.8;NA;-1.8;-1.8;-1.9;2;2.5;1.8;10;9;8.4;5.4;9;12;9.6;10.2;12;12.8;9.2;8;10.1;4.8;12.4;NA;NA;NA;6.5;10.3;2;1;1;1;0;5.2;5;4;5;-1;NA;1;NA;3.3;4.7;NA;4.6;5.3;2.6;-0.3;10;10;11
