nomi.zyp zyp.out
lbound -0.01829417940290443
trend 0.00468045474622148
trendp 0.28082728477328883
ubound 0.02729667651035899
tau 0.03682057559490204
sig 0.6851480007171631
nruns 4
autocor 0.0796073181147424
valid_frac 1
linear 0.008419560989163657
intercept 0.10657475978455086
