yy;mm;old;anom
2020;0;1.5375785736113;1.49063509635286
2020;0;0;0
2020;1;1.89409992823755;1.55097554225154
2020;2;2.87986465841855;2.58683729265948
2020;3;0.872024035701197;0.627380816312901
2020;4;1.78598397795315;1.62814151492771
2020;5;1.9658306620399;1.93035492882636
2020;6;0.797639269756082;0.941962919848162
2020;7;1.3860897170492;1.72269099342898
2020;8;2.49374238643171;2.79426095762836
2020;9;1.55561387554952;1.85461062376767
2020;10;-0.376674709447326;-0.322488988483461
2020;11;1.93821577725799;1.7958000883828
2020;12;1.34276203908766;0.856138955526672
