yy;anom
1961;-4.16
1962;3.53
1963;4.15
1964;-2.04
1965;0.87
1966;-0.83
1967;-0.61
1968;-0.04
1969;2.36
1970;-0.64
1971;0.68
1972;3.25
1973;-0.36
1974;1.12
1975;-2.46
1976;3.94
1977;-1.08
1978;3.82
1979;0.15
1980;4.65
1981;1.25
1982;-3.83
1983;-2.47
1984;1.33
1985;-0.18
1986;-1.22
1987;-0.3
1988;-3.92
1989;-3.73
1990;-4.39
1991;2.85
1992;-3.28
1993;-2.09
1994;-4.59
1995;-1.22
1996;0.4
1997;-4.33
1998;-1.48
1999;-1.85
2000;-4.99
2001;-3.28
2002;-3.61
2003;-1.22
2004;-1.38
2005;2.27
2006;-3.32
2007;-2.91
2008;-3.8
2009;-2.13
2010;0.8
2011;-4.57
2012;-2.18
2013;-2
2014;-5.81
2015;-5.28
2016;-5.2
2017;-4.64
2018;-4.04
2019;-3.71
2020;-5.49
