nomi.zyp zyp.out
lbound -0.13187947170514186
trend -0.10049913012196142
trendp -6.0299478073176855
ubound -0.06984173579216955
tau -0.47516074776649475
sig 1.0958709140140854e-7
nruns 4
autocor -0.1014724997130351
valid_frac 1
linear -0.09323367602111693
intercept 1.5633870853575726
