nomi.zyp zyp.out
lbound 0.5340277758423367
trend 0.6742195408766901
trendp 40.45317245260141
ubound 0.8521134004752094
tau 0.6610170006752014
sig 0
nruns 5
autocor 0.1195736948749136
valid_frac 1
linear 0.7660202834120584
intercept -10.328792534764517
