yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
1971,-1.62,-3.62,4.12,3.61,-2.63,-2.73,6.86,7.08,-5.31,-2.88,-3.96,2.12,4.76,9.120000000000001,7.83,-6.57,NA,NA,9.04,2.38,NA,4.13,6.38,NA,9.14,3.66,4.58,24.93,-4.08,15.79,4.5,2.5199999999999996,-3.07,3.11,2.35,22.240000000000002,2.59,2.3899999999999997,4.1,15.39,-2.96,3.96,-1.93,-2.75,8,7.34,-5.59,-5.14,5.8100000000000005,2.5199999999999996,3.5,-2.81,2.04
1972,-1.62,NA,2.12,4.609999999999999,-2.63,-2.73,-4.14,-4.92,-5.31,4.12,NA,3.12,2.76,0.1200000000000001,-4.17,-6.57,NA,NA,-3.96,-3.62,NA,2.13,-3.62,3.08,1.1399999999999997,-4.34,NA,-5.07,-4.08,5.79,-3.5,-0.4800000000000004,-3.07,-3.89,-3.65,3.24,-5.41,0.3899999999999997,-1.9,NA,NA,1.96,-1.93,NA,-4,-3.66,-5.59,1.8600000000000003,3.8100000000000005,-0.4800000000000004,0.5,4.1899999999999995,3.04
1973,4.38,-3.62,1.12,-2.39,5.37,-2.73,-4.14,5.08,-5.31,NA,2.04,-3.88,-3.24,1.12,3.83,-0.5700000000000003,-2.71,4.12,2.04,2.38,4.71,-3.87,NA,-4.92,-5.86,3.66,NA,2.9299999999999997,2.92,-1.21,-3.5,1.5199999999999996,21.93,2.11,-3.65,-2.76,0.5899999999999999,1.3899999999999997,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,-4,-3.66,-5.59,-5.14,NA,0.5199999999999996,1.5,-2.81,2.04
1974,-1.62,2.38,6.12,-2.39,4.37,3.27,-4.14,2.08,0.6900000000000004,10.120000000000001,2.04,2.12,3.76,0.1200000000000001,1.83,7.43,24.29,4.12,2.04,-3.62,2.71,9.129999999999999,NA,-4.92,14.14,-4.34,-5.42,-5.07,-4.08,18.79,-3.5,13.52,-3.07,-3.89,-3.65,-2.76,9.59,2.3899999999999997,-1.9,-5.61,-2.96,4.96,-1.93,5.25,-4,-3.66,-5.59,-5.14,-2.1899999999999995,19.52,13.5,-2.81,8.04
1975,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,2.04,-3.88,-3.24,-5.88,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,-3.87,NA,-4.92,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,-6.48,2.93,2.11,-3.65,-2.76,0.5899999999999999,0.3899999999999997,-1.9,-5.61,3.04,-4.04,-1.93,3.25,-4,-3.66,-5.59,-5.14,-0.1899999999999995,-6.48,-5.5,3.19,-3.96
1976,-1.62,NA,NA,9.61,-2.63,-2.73,10.86,8.08,0.6900000000000004,3.12,8.04,NA,2.76,-5.88,1.83,-0.5700000000000003,-2.71,-1.88,3.04,9.379999999999999,2.71,3.13,NA,10.08,-5.86,23.66,6.58,1.9299999999999997,NA,0.79,-3.5,-6.48,2.93,2.11,-3.65,3.24,-5.41,3.3899999999999997,-1.9,25.39,3.04,-4.04,-1.93,15.25,2,-3.66,0.41000000000000014,14.86,5.8100000000000005,5.52,1.5,5.1899999999999995,5.04
1977,5.38,2.38,7.12,-2.39,-2.63,-2.73,-4.14,-4.92,3.6900000000000004,-2.88,-3.96,-3.88,-3.24,-5.88,-4.17,NA,3.29,-1.88,-3.96,-3.62,4.71,5.13,2.38,-4.92,1.1399999999999997,5.66,-5.42,3.9299999999999997,-4.08,0.79,-3.5,6.52,-3.07,5.109999999999999,-3.65,-2.76,-5.41,4.39,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,2,3.34,-5.59,-5.14,3.8100000000000005,1.5199999999999996,1.5,-2.81,NA
1978,12.379999999999999,-3.62,-5.88,-2.39,6.37,5.27,4.86,NA,-5.31,5.12,3.04,-3.88,-3.24,NA,9.83,0.4299999999999997,-2.71,4.12,3.04,9.379999999999999,-3.29,-3.87,-3.62,22.08,-5.86,1.6600000000000001,-5.42,0.9299999999999997,-4.08,4.79,2.5,7.52,-3.07,9.11,11.35,-2.76,1.5899999999999999,1.3899999999999997,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,3,-3.66,-5.59,1.8600000000000003,-8.19,12.52,0.5,-2.81,-3.96
1979,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,1.08,-5.31,-2.88,4.04,-3.88,-3.24,-5.88,-4.17,-6.57,-2.71,4.12,2.04,3.38,-3.29,-3.87,-3.62,-4.92,0.13999999999999968,-4.34,1.58,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,2.11,4.35,-2.76,0.5899999999999999,0.3899999999999997,-1.9,0.3899999999999997,4.04,3.96,-1.93,3.25,-4,-3.66,-5.59,36.86,-1.1899999999999995,-0.4800000000000004,-5.5,3.19,-3.96
1980,-1.62,-3.62,31.12,NA,-2.63,-2.73,-4.14,5.08,0.6900000000000004,-2.88,-3.96,NA,2.76,27.12,2.83,33.43,-2.71,-1.88,-3.96,-3.62,9.71,-3.87,-3.62,NA,1.1399999999999997,-4.34,8.58,1.9299999999999997,-4.08,-7.21,-3.5,8.52,3.93,-3.89,3.35,-2.76,20.59,-5.61,-1.9,2.3899999999999997,24.04,4.96,-1.93,5.25,3,5.34,-5.59,-5.14,NA,-6.48,1.5,9.19,-3.96
1981,-1.62,3.38,3.12,-2.39,-2.63,-2.73,-4.14,-4.92,19.69,-2.88,-3.96,14.120000000000001,-3.24,NA,1.83,3.4299999999999997,-2.71,-1.88,2.04,-3.62,2.71,3.13,-3.62,-4.92,0.13999999999999968,2.66,6.58,7.93,7.92,0.79,2.5,NA,NA,8.11,10.35,-2.76,-5.41,12.39,4.1,-5.61,NA,10.96,5.07,-2.75,14,11.34,NA,NA,40.81,-6.48,1.5,12.19,3.04
