yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
2002,8.379999999999999,NA,NA,-2.39,4.37,NA,-4.14,NA,1.6900000000000004,9.120000000000001,-3.96,2.12,-3.24,1.12,4.83,-6.57,-2.71,-1.88,NA,-3.62,-3.29,-3.87,2.38,-4.92,-5.86,-4.34,-5.42,-5.07,NA,-7.21,4.5,-6.48,-3.07,-3.89,-3.65,-2.76,-5.41,1.3899999999999997,-1.9,NA,4.04,1.96,-1.93,-2.75,-4,NA,6.41,NA,-2.1899999999999995,-6.48,-5.5,-2.81,2.04
2003,-1.62,NA,NA,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,3.12,NA,-3.88,10.76,NA,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,2.13,3.38,-4.92,NA,-4.34,-5.42,13.93,2.92,-7.21,NA,-6.48,-3.07,-3.89,-3.65,3.24,-5.41,-5.61,-1.9,-5.61,-2.96,15.96,-1.93,-2.75,-4,-3.66,14.41,31.86,-8.19,6.52,2.5,7.1899999999999995,2.04
2004,-1.62,-3.62,-5.88,-2.39,-2.63,NA,-4.14,-4.92,-5.31,-2.88,-3.96,2.12,-3.24,NA,-4.17,NA,-2.71,-1.88,-3.96,-3.62,-3.29,-3.87,-3.62,-4.92,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,0.5199999999999996,-3.07,-3.89,-3.65,-2.76,-5.41,0.3899999999999997,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,-4,-3.66,-5.59,1.8600000000000003,-8.19,-6.48,-5.5,-2.81,4.04
2005,-1.62,3.38,4.12,-2.39,-2.63,-2.73,-4.14,12.08,-5.31,-2.88,-3.96,-3.88,24.759999999999998,NA,7.83,NA,12.29,4.12,4.04,5.38,2.71,2.13,-3.62,-4.92,-5.86,15.66,1.58,16.93,NA,NA,6.5,13.52,-3.07,-3.89,-3.65,-2.76,-5.41,1.3899999999999997,-1.9,2.3899999999999997,11.04,8.96,18.07,15.25,3,-3.66,0.41000000000000014,34.86,NA,-0.4800000000000004,2.5,3.19,16.04
2006,-1.62,-3.62,-5.88,-2.39,3.37,-2.73,-4.14,-4.92,-5.31,-2.88,-3.96,-3.88,-3.24,NA,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,-3.87,-3.62,-4.92,6.14,-4.34,-5.42,-5.07,-4.08,NA,NA,-6.48,-3.07,-3.89,-3.65,-2.76,-5.41,-5.61,-1.9,0.3899999999999997,-2.96,1.96,-1.93,3.25,-4,-3.66,14.41,8.86,-8.19,-6.48,-5.5,-2.81,-3.96
2007,-1.62,-3.62,1.12,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,-3.96,2.12,-3.24,NA,-4.17,NA,3.29,-1.88,NA,-3.62,-3.29,-3.87,-3.62,-4.92,-5.86,2.66,-5.42,-5.07,NA,NA,NA,-6.48,-3.07,-3.89,-3.65,-2.76,0.5899999999999999,2.3899999999999997,-1.9,0.3899999999999997,-2.96,10.96,-1.93,-2.75,NA,-3.66,-5.59,0.8600000000000003,-8.19,-6.48,-5.5,-2.81,3.04
2008,-1.62,-3.62,-5.88,-2.39,-2.63,NA,NA,-4.92,-5.31,-2.88,-3.96,-3.88,-3.24,5.12,-4.17,NA,-2.71,-1.88,-3.96,-3.62,-3.29,2.13,-3.62,-4.92,-5.86,5.66,-5.42,2.9299999999999997,NA,NA,-3.5,-6.48,-3.07,-3.89,-3.65,-2.76,-5.41,1.3899999999999997,-1.9,-5.61,-2.96,1.96,-1.93,-2.75,-4,-3.66,-5.59,-5.14,-8.19,-6.48,-5.5,-2.81,4.04
2009,-1.62,-3.62,9.120000000000001,-2.39,-2.63,NA,NA,7.08,-5.31,11.120000000000001,4.04,-3.88,3.76,3.12,10.83,NA,3.29,4.12,3.04,9.379999999999999,2.71,3.13,2.38,-4.92,2.1399999999999997,10.66,3.58,2.9299999999999997,NA,NA,NA,2.5199999999999996,4.93,-3.89,-3.65,NA,3.59,3.3899999999999997,-1.9,-5.61,13.04,10.96,5.07,3.25,-4,-3.66,-5.59,-5.14,-1.1899999999999995,-0.4800000000000004,9.5,-2.81,2.04
2010,4.38,-3.62,-5.88,-2.39,3.37,3.27,1.8600000000000003,2.08,0.6900000000000004,3.12,-3.96,-3.88,4.76,NA,2.83,NA,-2.71,4.12,-3.96,2.38,-3.29,2.13,-3.62,-4.92,16.14,-4.34,-5.42,NA,NA,NA,2.5,7.52,-3.07,-3.89,-3.65,NA,-5.41,3.3899999999999997,-1.9,10.39,-2.96,-4.04,4.07,-2.75,-4,-3.66,-5.59,-5.14,-8.19,0.5199999999999996,1.5,-2.81,-3.96
2011,6.38,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,-3.96,-3.88,-3.24,NA,-4.17,NA,-2.71,-1.88,-3.96,-3.62,-3.29,3.13,-3.62,-4.92,-5.86,-4.34,-5.42,-5.07,NA,NA,-3.5,-6.48,-3.07,-3.89,-3.65,NA,-5.41,-5.61,-1.9,0.3899999999999997,-2.96,-4.04,4.07,-2.75,-4,-3.66,-5.59,-5.14,-8.19,-6.48,-5.5,-2.81,-3.96
2012,4.38,-3.62,9.120000000000001,-2.39,3.37,-2.73,-4.14,1.08,7.69,7.12,9.04,-3.88,4.76,9.120000000000001,14.83,6.43,7.29,13.120000000000001,10.04,-3.62,10.71,6.13,2.38,2.08,15.14,15.66,3.58,9.93,7.92,4.79,-3.5,5.52,3.93,-3.89,-3.65,NA,0.5899999999999999,1.3899999999999997,-1.9,-5.61,-2.96,-4.04,4.07,-2.75,-4,-3.66,-5.59,4.86,-8.19,-6.48,2.5,-2.81,10.04
2013,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,-3.96,-3.88,2.76,-5.88,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,2.13,-3.62,-4.92,1.1399999999999997,2.66,-5.42,NA,-4.08,-7.21,2.5,-0.4800000000000004,-3.07,-3.89,-3.65,NA,-5.41,-5.61,-1.9,-5.61,-2.96,-4.04,12.07,-2.75,-4,-3.66,-5.59,7.86,-8.19,-0.4800000000000004,-5.5,3.19,11.04
2014,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,-3.96,-3.88,-3.24,-5.88,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,-3.87,NA,-4.92,-5.86,-4.34,NA,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,-3.65,NA,-5.41,-5.61,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,NA,NA,-5.59,-5.14,NA,-6.48,-5.5,-2.81,-3.96
2015,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,-3.96,-3.88,-3.24,-5.88,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,-3.87,NA,NA,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,-3.65,NA,-5.41,-5.61,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,-4,-3.66,NA,NA,NA,-6.48,-5.5,-2.81,-3.96
2016,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,NA,-5.31,-2.88,2.04,-3.88,2.76,-5.88,-4.17,-6.57,-2.71,-1.88,NA,-3.62,-3.29,-3.87,-3.62,NA,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,-3.65,NA,-5.41,-5.61,-1.9,-5.61,NA,-4.04,-1.93,-2.75,-4,NA,2.41,2.8600000000000003,-8.19,-6.48,-5.5,-2.81,-3.96
2017,-1.62,NA,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,4.04,-3.88,-3.24,NA,-4.17,-6.57,-2.71,-1.88,NA,-3.62,-3.29,-3.87,-3.62,NA,-5.86,-4.34,-5.42,NA,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,3.35,NA,0.5899999999999999,2.3899999999999997,5.1,2.3899999999999997,-2.96,-4.04,-1.93,NA,-4,-3.66,0.41000000000000014,15.86,-2.1899999999999995,-6.48,-5.5,-2.81,2.04
2018,-1.62,NA,-5.88,-2.39,-2.63,-2.73,-4.14,NA,-5.31,-2.88,-3.96,-3.88,-3.24,1.12,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,2.13,NA,1.08,1.1399999999999997,-4.34,-5.42,-5.07,1.92,-7.21,-3.5,5.52,-3.07,-3.89,-3.65,NA,-5.41,-5.61,-1.9,-5.61,3.04,-4.04,-1.93,NA,-4,-3.66,-5.59,0.8600000000000003,-8.19,-6.48,-5.5,-2.81,4.04
2019,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,-3.96,-3.88,NA,-5.88,-4.17,-6.57,-2.71,NA,-3.96,-3.62,-3.29,-3.87,-3.62,-4.92,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,3.35,NA,-5.41,-5.61,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,-4,-3.66,-5.59,-5.14,-8.19,-6.48,-5.5,-2.81,2.04
2020,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,-2.88,2.04,-3.88,-3.24,-5.88,-4.17,-6.57,-2.71,-1.88,2.04,-3.62,-3.29,NA,NA,-4.92,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,-3.65,-2.76,-5.41,-5.61,-1.9,-5.61,NA,-4.04,-1.93,-2.75,-4,-3.66,11.41,-5.14,-8.19,-6.48,0.5,-2.81,-3.96
